+-----------+------+--------+---------+-----------+
| series id | year | period |  value  | footnotes |
+-----------+------+--------+---------+-----------+
|  WPS0261  | 2022 |  M12   | 217.555 |           |
|  WPS0261  | 2022 |  M11   | 216.673 |           |
|  WPS0261  | 2022 |  M10   | 214.555 |           |
|  WPS0261  | 2022 |  M09   | 212.442 |           |
|  WPS0261  | 2022 |  M08   | 211.639 |           |
|  WPS0261  | 2022 |  M07   | 210.910 |           |
|  WPS0261  | 2022 |  M06   | 211.500 |           |
|  WPS0261  | 2022 |  M05   | 210.777 |           |
|  WPS0261  | 2022 |  M04   | 209.973 |           |
|  WPS0261  | 2022 |  M03   | 207.872 |           |
|  WPS0261  | 2022 |  M02   | 205.779 |           |
|  WPS0261  | 2022 |  M01   | 204.317 |           |
|  WPS0261  | 2021 |  M12   | 203.378 |           |
|  WPS0261  | 2021 |  M11   | 202.854 |           |
|  WPS0261  | 2021 |  M10   | 202.810 |           |
|  WPS0261  | 2021 |  M09   | 201.343 |           |
|  WPS0261  | 2021 |  M08   | 201.416 |           |
|  WPS0261  | 2021 |  M07   | 200.576 |           |
|  WPS0261  | 2021 |  M06   |  200.0  |           |
|  WPS0261  | 2021 |  M05   |  201.1  |           |
|  WPS0261  | 2021 |  M04   |  200.3  |           |
|  WPS0261  | 2021 |  M03   |  200.6  |           |
|  WPS0261  | 2021 |  M02   |  200.9  |           |
|  WPS0261  | 2021 |  M01   |  200.3  |           |
|  WPS0261  | 2020 |  M12   |  199.8  |           |
|  WPS0261  | 2020 |  M11   |  204.2  |           |
|  WPS0261  | 2020 |  M10   |  203.8  |           |
|  WPS0261  | 2020 |  M09   |  202.6  |           |
|  WPS0261  | 2020 |  M08   |  201.8  |           |
|  WPS0261  | 2020 |  M07   |  201.8  |           |
|  WPS0261  | 2020 |  M06   |  201.9  |           |
|  WPS0261  | 2020 |  M05   |  202.3  |           |
|  WPS0261  | 2020 |  M04   |  204.7  |           |
|  WPS0261  | 2020 |  M03   |  202.1  |           |
|  WPS0261  | 2020 |  M02   |  202.1  |           |
|  WPS0261  | 2020 |  M01   |  201.4  |           |
|  WPS0261  | 2019 |  M12   |  200.9  |           |
|  WPS0261  | 2019 |  M11   |  200.6  |           |
|  WPS0261  | 2019 |  M10   |  200.5  |           |
|  WPS0261  | 2019 |  M09   |  199.8  |           |
|  WPS0261  | 2019 |  M08   |  199.3  |           |
|  WPS0261  | 2019 |  M07   |  200.4  |           |
|  WPS0261  | 2019 |  M06   |  199.5  |           |
|  WPS0261  | 2019 |  M05   |  198.7  |           |
|  WPS0261  | 2019 |  M04   |  199.1  |           |
|  WPS0261  | 2019 |  M03   |  199.3  |           |
|  WPS0261  | 2019 |  M02   |  199.7  |           |
|  WPS0261  | 2019 |  M01   |  200.5  |           |
|  WPS0261  | 2018 |  M12   |  200.9  |           |
|  WPS0261  | 2018 |  M11   |  200.0  |           |
|  WPS0261  | 2018 |  M10   |  199.6  |           |
|  WPS0261  | 2018 |  M09   |  199.5  |           |
|  WPS0261  | 2018 |  M08   |  199.7  |           |
|  WPS0261  | 2018 |  M07   |  198.9  |           |
|  WPS0261  | 2018 |  M06   |  199.9  |           |
|  WPS0261  | 2018 |  M05   |  200.5  |           |
|  WPS0261  | 2018 |  M04   |  199.8  |           |
|  WPS0261  | 2018 |  M03   |  199.4  |           |
|  WPS0261  | 2018 |  M02   |  198.8  |           |
|  WPS0261  | 2018 |  M01   |  197.9  |           |
|  WPS0261  | 2017 |  M12   |  196.9  |           |
|  WPS0261  | 2017 |  M11   |  196.9  |           |
|  WPS0261  | 2017 |  M10   |  196.5  |           |
|  WPS0261  | 2017 |  M09   |  196.5  |           |
|  WPS0261  | 2017 |  M08   |  195.9  |           |
|  WPS0261  | 2017 |  M07   |  196.0  |           |
|  WPS0261  | 2017 |  M06   |  195.6  |           |
|  WPS0261  | 2017 |  M05   |  195.0  |           |
|  WPS0261  | 2017 |  M04   |  194.7  |           |
|  WPS0261  | 2017 |  M03   |  194.8  |           |
|  WPS0261  | 2017 |  M02   |  194.3  |           |
|  WPS0261  | 2017 |  M01   |  193.9  |           |
|  WPS0261  | 2016 |  M12   |  193.8  |           |
|  WPS0261  | 2016 |  M11   |  194.0  |           |
|  WPS0261  | 2016 |  M10   |  193.8  |           |
|  WPS0261  | 2016 |  M09   |  193.9  |           |
|  WPS0261  | 2016 |  M08   |  194.0  |           |
|  WPS0261  | 2016 |  M07   |  193.9  |           |
|  WPS0261  | 2016 |  M06   |  193.2  |           |
|  WPS0261  | 2016 |  M05   |  192.7  |           |
|  WPS0261  | 2016 |  M04   |  192.7  |           |
|  WPS0261  | 2016 |  M03   |  192.9  |           |
|  WPS0261  | 2016 |  M02   |  193.0  |           |
|  WPS0261  | 2016 |  M01   |  192.7  |           |
+-----------+------+--------+---------+-----------+
