Series ID,Year,Period,Label,Value
CUUSS35CSAF116,2017,S01,2017 Half1,156.059
CUUSS35CSAF116,2017,S02,2017 Half2,160.9
CUUSS35CSAF116,2018,S01,2018 Half1,160.956
CUUSS35CSAF116,2018,S02,2018 Half2,160.152
CUUSS35CSAF116,2019,S01,2019 Half1,163.779
CUUSS35CSAF116,2019,S02,2019 Half2,165.097
CUUSS35CSAF116,2020,S01,2020 Half1,155.544
CUUSS35CSAF116,2020,S02,2020 Half2,148.829
CUUSS35CSAF116,2021,S01,2021 Half1,154.894
CUUSS35CSAF116,2021,S02,2021 Half2,156.191
CUUSS35CSAF116,2022,S01,2022 Half1,158.871
CUUSS35CSAF116,2022,S02,2022 Half2,161.944
