Series ID,Year,Period,Label,Value
CUUSS23ASAF116,2017,S01,2017 Half1,245.305
CUUSS23ASAF116,2017,S02,2017 Half2,249.887
CUUSS23ASAF116,2018,S01,2018 Half1,259.914
CUUSS23ASAF116,2018,S02,2018 Half2,258.657
CUUSS23ASAF116,2019,S01,2019 Half1,259.546
CUUSS23ASAF116,2019,S02,2019 Half2,259.057
CUUSS23ASAF116,2020,S01,2020 Half1,257.437
CUUSS23ASAF116,2020,S02,2020 Half2,266.303
CUUSS23ASAF116,2021,S01,2021 Half1,268.514
CUUSS23ASAF116,2021,S02,2021 Half2,271.542
CUUSS23ASAF116,2022,S01,2022 Half1,278.16
CUUSS23ASAF116,2022,S02,2022 Half2,289.949
