Series ID,Year,Period,Label,Value
CUUSS35CSAF112,2017,S02,2017 Half2,272.072
CUUSS35CSAF112,2018,S01,2018 Half1,274.298
CUUSS35CSAF112,2018,S02,2018 Half2,275.367
CUUSS35CSAF112,2019,S01,2019 Half1,273.237
CUUSS35CSAF112,2019,S02,2019 Half2,278.988
CUUSS35CSAF112,2020,S01,2020 Half1,289.946
CUUSS35CSAF112,2020,S02,2020 Half2,298.75
CUUSS35CSAF112,2021,S01,2021 Half1,296.472
CUUSS35CSAF112,2021,S02,2021 Half2,312.643
CUUSS35CSAF112,2022,S01,2022 Half1,326.294
CUUSS35CSAF112,2022,S02,2022 Half2,347.908
