Series ID,Year,Period,Label,Dairy,Alcohol,Meats
CUUSS35CSEFJ,2017,S02,2017 Half2,221.95,160.9,272.072
CUUSS35CSEFJ,2018,S01,2018 Half1,222.042,160.956,274.298
CUUSS35CSEFJ,2018,S02,2018 Half2,224.261,160.152,275.367
CUUSS35CSEFJ,2019,S01,2019 Half1,227.396,163.779,273.237
CUUSS35CSEFJ,2019,S02,2019 Half2,233.325,165.097,278.988
CUUSS35CSEFJ,2020,S01,2020 Half1,240.753,155.544,289.946
CUUSS35CSEFJ,2020,S02,2020 Half2,242.856,148.829,298.75
CUUSS35CSEFJ,2021,S01,2021 Half1,240.496,154.894,296.472
CUUSS35CSEFJ,2021,S02,2021 Half2,233.564,156.191,312.643
CUUSS35CSEFJ,2022,S01,2022 Half1,252.762,158.871,326.294
CUUSS35CSEFJ,2022,S02,2022 Half2,274.571,161.944,347.908
