Series ID,Year,Period,Label,Dairy,Alcohol,Meats
CUUSS23ASEFJ,2017,S02,2017 Half2,208.506,272.072,251.438
CUUSS23ASEFJ,2018,S01,2018 Half1,208.688,274.298,252.535
CUUSS23ASEFJ,2018,S02,2018 Half2,208.591,275.367,252.265
CUUSS23ASEFJ,2019,S01,2019 Half1,212.295,273.237,253.12
CUUSS23ASEFJ,2019,S02,2019 Half2,212.125,278.988,253.312
CUUSS23ASEFJ,2020,S01,2020 Half1,222.831,289.946,267.68
CUUSS23ASEFJ,2020,S02,2020 Half2,227.494,298.75,268.994
CUUSS23ASEFJ,2021,S01,2021 Half1,227.526,296.472,268.766
CUUSS23ASEFJ,2021,S02,2021 Half2,227.377,312.643,287.73
CUUSS23ASEFJ,2022,S01,2022 Half1,247.1,326.294,308.043
CUUSS23ASEFJ,2022,S02,2022 Half2,261.026,347.908,310.284
