Series ID,Year,Period,Label,Value
CUUSS23ASAF112,2017,S02,2017 Half2,251.438
CUUSS23ASAF112,2018,S01,2018 Half1,252.535
CUUSS23ASAF112,2018,S02,2018 Half2,252.265
CUUSS23ASAF112,2019,S01,2019 Half1,253.120
CUUSS23ASAF112,2019,S02,2019 Half2,253.312
CUUSS23ASAF112,2020,S01,2020 Half1,267.680
CUUSS23ASAF112,2020,S02,2020 Half2,268.994
CUUSS23ASAF112,2021,S01,2021 Half1,268.766
CUUSS23ASAF112,2021,S02,2021 Half2,287.730
CUUSS23ASAF112,2022,S01,2022 Half1,308.043
CUUSS23ASAF112,2022,S02,2022 Half2,310.284
