Series ID,Year,Period,Label,Value
CUUSS48BSAF112,2017,S02,2017 Half2,212.247
CUUSS48BSAF112,2018,S01,2018 Half1,215.924
CUUSS48BSAF112,2018,S02,2018 Half2,218.530
CUUSS48BSAF112,2019,S01,2019 Half1,217.496
CUUSS48BSAF112,2019,S02,2019 Half2,216.746
CUUSS48BSAF112,2020,S01,2020 Half1,231.894
CUUSS48BSAF112,2020,S02,2020 Half2,239.903
CUUSS48BSAF112,2021,S01,2021 Half1,235.404
CUUSS48BSAF112,2021,S02,2021 Half2,254.713
CUUSS48BSAF112,2022,S01,2022 Half1,269.500
CUUSS48BSAF112,2022,S02,2022 Half2,282.145
