Dairy ,Alcohol,Meats,Date
244.138,217.555,226.258,2022-12-01
244.756,216.673,231.555,2022-11-01
245.311,214.555,227.284,2022-10-01
245.178,212.442,233.942,2022-09-01
247.768,211.639,238.86,2022-08-01
251.819,210.91,241.258,2022-07-01
251.675,211.5,237.732,2022-06-01
249.731,210.777,237.697,2022-05-01
246.849,209.973,239.694,2022-04-01
239.713,207.872,238.619,2022-03-01
232.593,205.779,238.806,2022-02-01
225.481,204.317,237.227,2022-01-01
217.064,203.378,235.237,2021-12-01
211.183,202.854,238.17,2021-11-01
208.466,202.81,238.656,2021-10-01
206.557,201.343,247.03,2021-09-01
206.226,201.416,237.726,2021-08-01
207.478,200.576,227.957,2021-07-01
207.5,200.0,234.6,2021-06-01
207.7,201.1,223.7,2021-05-01
204.3,200.3,214.1,2021-04-01
199.7,200.6,202.9,2021-03-01
197.9,200.9,200.1,2021-02-01
198.8,200.3,189.8,2021-01-01
201.9,199.8,190.3,2020-12-01
209.1,204.2,190.3,2020-11-01
204.7,203.8,185.7,2020-10-01
203.0,202.6,181.2,2020-09-01
207.0,201.8,177.4,2020-08-01
210.6,201.8,177.6,2020-07-01
199.9,201.9,186.5,2020-06-01
186.9,202.3,232.1,2020-05-01
191.9,204.7,185.6,2020-04-01
201.9,202.1,182.4,2020-03-01
203.9,202.1,184.8,2020-02-01
205.5,201.4,188.7,2020-01-01
207.6,200.9,191.7,2019-12-01
207.1,200.6,191.6,2019-11-01
203.9,200.5,187.0,2019-10-01
204.3,199.8,186.4,2019-09-01
204.3,199.3,183.4,2019-08-01
203.8,200.4,183.8,2019-07-01
201.1,199.5,181.5,2019-06-01
199.7,198.7,185.1,2019-05-01
198.3,199.1,185.8,2019-04-01
197.0,199.3,182.8,2019-03-01
195.3,199.7,184.6,2019-02-01
192.8,200.5,183.1,2019-01-01
191.6,200.9,180.7,2018-12-01
192.2,200.0,179.4,2018-11-01
193.7,199.6,179.5,2018-10-01
192.9,199.5,177.3,2018-09-01
192.9,199.7,175.8,2018-08-01
192.7,198.9,180.3,2018-07-01
194.0,199.9,178.4,2018-06-01
193.5,200.5,183.0,2018-05-01
190.7,199.8,183.4,2018-04-01
190.3,199.4,187.6,2018-03-01
190.0,198.8,184.2,2018-02-01
192.7,197.9,184.4,2018-01-01
193.8,196.9,182.8,2017-12-01
194.8,196.9,182.5,2017-11-01
195.6,196.5,183.2,2017-10-01
196.4,196.5,185.2,2017-09-01
198.8,195.9,189.0,2017-08-01
197.7,196.0,189.6,2017-07-01
197.4,195.6,190.9,2017-06-01
194.8,195.0,186.6,2017-05-01
196.0,194.7,187.0,2017-04-01
198.2,194.8,187.0,2017-03-01
200.3,194.3,182.8,2017-02-01
199.6,193.9,182.7,2017-01-01
195.9,193.8,180.8,2016-12-01
190.8,194.0,179.5,2016-11-01
190.2,193.8,182.2,2016-10-01
193.9,193.9,184.1,2016-09-01
193.1,194.0,181.4,2016-08-01
189.7,193.9,185.3,2016-07-01
186.1,193.2,185.3,2016-06-01
186.1,192.7,184.9,2016-05-01
188.6,192.7,186.7,2016-04-01
189.2,192.9,185.7,2016-03-01
190.1,193.0,188.2,2016-02-01
190.8,192.7,184.4,2016-01-01
192.6,,184.5,2015-12-01
193.0,,189.1,2015-11-01
193.4,,191.4,2015-10-01
191.9,,194.3,2015-09-01
192.0,,196.0,2015-08-01
193.8,,195.8,2015-07-01
194.8,,198.1,2015-06-01
194.0,,202.0,2015-05-01
192.0,,200.6,2015-04-01
192.8,,201.7,2015-03-01
194.0,,206.5,2015-02-01
198.6,,214.5,2015-01-01
208.5,,211.7,2014-12-01
217.1,,213.5,2014-11-01
224.3,,216.7,2014-10-01
225.0,,212.5,2014-09-01
221.9,,214.2,2014-08-01
221.5,,214.6,2014-07-01
222.6,,205.4,2014-06-01
227.1,,203.7,2014-05-01
229.7,,207.2,2014-04-01
226.2,,195.3,2014-03-01
222.6,,188.9,2014-02-01
213.8,,189.8,2014-01-01
205.5,,187.4,2013-12-01
200.6,,187.4,2013-11-01
197.5,,185.6,2013-10-01
195.7,,184.4,2013-09-01
197.5,,184.1,2013-08-01
198.5,,183.8,2013-07-01
201.1,,183.0,2013-06-01
202.3,,181.6,2013-05-01
199.3,,180.1,2013-04-01
198.9,,183.2,2013-03-01
199.0,,184.0,2013-02-01
200.5,,184.3,2013-01-01
