+--------------+------+--------+---------+-----------+
|  series id   | year | period |  value  | footnotes |
+--------------+------+--------+---------+-----------+
| CUSR0000SEFW | 2022 |  M12   | 224.772 |           |
| CUSR0000SEFW | 2022 |  M11   | 223.316 |           |
| CUSR0000SEFW | 2022 |  M10   | 221.743 |           |
| CUSR0000SEFW | 2022 |  M09   | 220.834 |           |
| CUSR0000SEFW | 2022 |  M08   | 220.152 |           |
| CUSR0000SEFW | 2022 |  M07   | 219.262 |           |
| CUSR0000SEFW | 2022 |  M06   | 218.421 |           |
| CUSR0000SEFW | 2022 |  M05   | 217.491 |           |
| CUSR0000SEFW | 2022 |  M04   | 217.116 |           |
| CUSR0000SEFW | 2022 |  M03   | 216.591 |           |
| CUSR0000SEFW | 2022 |  M02   | 216.142 |           |
| CUSR0000SEFW | 2022 |  M01   | 214.285 |           |
| CUSR0000SEFW | 2021 |  M12   | 213.600 |           |
| CUSR0000SEFW | 2021 |  M11   | 213.734 |           |
| CUSR0000SEFW | 2021 |  M10   | 213.597 |           |
| CUSR0000SEFW | 2021 |  M09   | 214.505 |           |
| CUSR0000SEFW | 2021 |  M08   | 213.372 |           |
| CUSR0000SEFW | 2021 |  M07   | 212.782 |           |
| CUSR0000SEFW | 2021 |  M06   | 212.403 |           |
| CUSR0000SEFW | 2021 |  M05   | 211.740 |           |
| CUSR0000SEFW | 2021 |  M04   | 211.062 |           |
| CUSR0000SEFW | 2021 |  M03   | 210.996 |           |
| CUSR0000SEFW | 2021 |  M02   | 210.754 |           |
| CUSR0000SEFW | 2021 |  M01   | 211.057 |           |
| CUSR0000SEFW | 2020 |  M12   | 211.043 |           |
| CUSR0000SEFW | 2020 |  M11   | 211.022 |           |
| CUSR0000SEFW | 2020 |  M10   | 210.260 |           |
| CUSR0000SEFW | 2020 |  M09   | 209.436 |           |
| CUSR0000SEFW | 2020 |  M08   | 209.009 |           |
| CUSR0000SEFW | 2020 |  M07   | 209.241 |           |
| CUSR0000SEFW | 2020 |  M06   | 209.117 |           |
| CUSR0000SEFW | 2020 |  M05   | 209.311 |           |
| CUSR0000SEFW | 2020 |  M04   | 208.712 |           |
| CUSR0000SEFW | 2020 |  M03   | 207.944 |           |
| CUSR0000SEFW | 2020 |  M02   | 206.952 |           |
| CUSR0000SEFW | 2020 |  M01   | 206.054 |           |
| CUSR0000SEFW | 2019 |  M12   | 205.227 |           |
