series id,year,period,value,footnotes
CUUR0000SEFJ,2022,M12,271.376,
CUUR0000SEFJ,2022,M11,271.307,
CUUR0000SEFJ,2022,M10,269.355,
CUUR0000SEFJ,2022,M09,268.793,
CUUR0000SEFJ,2022,M08,267.461,
CUUR0000SEFJ,2022,M07,265.638,
CUUR0000SEFJ,2022,M06,261.255,
CUUR0000SEFJ,2022,M05,257.678,
CUUR0000SEFJ,2022,M04,251.030,
CUUR0000SEFJ,2022,M03,245.258,
CUUR0000SEFJ,2022,M02,242.386,
CUUR0000SEFJ,2022,M01,238.675,
CUUR0000SEFJ,2021,M12,235.442,
CUUR0000SEFJ,2021,M11,233.157,
CUUR0000SEFJ,2021,M10,233.168,
CUUR0000SEFJ,2021,M09,231.973,
CUUR0000SEFJ,2021,M08,230.145,
CUUR0000SEFJ,2021,M07,231.233,
CUUR0000SEFJ,2021,M06,230.152,
CUUR0000SEFJ,2021,M05,230.380,
CUUR0000SEFJ,2021,M04,230.170,
CUUR0000SEFJ,2021,M03,229.249,
CUUR0000SEFJ,2021,M02,230.452,
CUUR0000SEFJ,2021,M01,231.546,
CUUR0000SEFJ,2020,M12,231.740,
CUUR0000SEFJ,2020,M11,229.503,
CUUR0000SEFJ,2020,M10,229.155,
CUUR0000SEFJ,2020,M09,230.656,
CUUR0000SEFJ,2020,M08,231.231,
CUUR0000SEFJ,2020,M07,227.114,
CUUR0000SEFJ,2020,M06,228.437,
CUUR0000SEFJ,2020,M05,230.166,
CUUR0000SEFJ,2020,M04,228.755,
CUUR0000SEFJ,2020,M03,225.627,
CUUR0000SEFJ,2020,M02,224.443,
CUUR0000SEFJ,2020,M01,223.035,
CUUR0000SEFJ,2019,M12,221.924,
CUUR0000SEFJ,2019,M11,221.515,
CUUR0000SEFJ,2019,M10,220.738,
CUUR0000SEFJ,2019,M09,219.771,
CUUR0000SEFJ,2019,M08,218.758,
CUUR0000SEFJ,2019,M07,217.626,
CUUR0000SEFJ,2019,M06,217.433,
CUUR0000SEFJ,2019,M05,217.841,
CUUR0000SEFJ,2019,M04,217.510,
CUUR0000SEFJ,2019,M03,217.531,
CUUR0000SEFJ,2019,M02,216.595,
CUUR0000SEFJ,2019,M01,217.079,
CUUR0000SEFJ,2018,M12,216.652,
CUUR0000SEFJ,2018,M11,215.896,
CUUR0000SEFJ,2018,M10,216.800,
CUUR0000SEFJ,2018,M09,216.638,
CUUR0000SEFJ,2018,M08,216.435,
CUUR0000SEFJ,2018,M07,215.622,
CUUR0000SEFJ,2018,M06,216.126,
CUUR0000SEFJ,2018,M05,215.659,
CUUR0000SEFJ,2018,M04,216.906,
CUUR0000SEFJ,2018,M03,216.497,
CUUR0000SEFJ,2018,M02,216.412,
CUUR0000SEFJ,2018,M01,217.897,
CUUR0000SEFJ,2017,M12,216.916,
CUUR0000SEFJ,2017,M11,216.878,
CUUR0000SEFJ,2017,M10,217.170,
CUUR0000SEFJ,2017,M09,216.564,
CUUR0000SEFJ,2017,M08,216.537,
CUUR0000SEFJ,2017,M07,216.434,
CUUR0000SEFJ,2017,M06,215.192,
CUUR0000SEFJ,2017,M05,217.015,
CUUR0000SEFJ,2017,M04,217.827,
CUUR0000SEFJ,2017,M03,218.567,
CUUR0000SEFJ,2017,M02,220.552,
CUUR0000SEFJ,2017,M01,219.804,
CUUR0000SEFJ,2016,M12,217.929,
CUUR0000SEFJ,2016,M11,216.773,
CUUR0000SEFJ,2016,M10,218.183,
CUUR0000SEFJ,2016,M09,216.693,
CUUR0000SEFJ,2016,M08,215.506,
CUUR0000SEFJ,2016,M07,214.605,
CUUR0000SEFJ,2016,M06,214.815,
CUUR0000SEFJ,2016,M05,216.122,
CUUR0000SEFJ,2016,M04,218.315,
CUUR0000SEFJ,2016,M03,218.131,
CUUR0000SEFJ,2016,M02,219.732,
CUUR0000SEFJ,2016,M01,220.869,
CUUR0000SEFJ,2015,M12,220.848,
CUUR0000SEFJ,2015,M11,220.613,
CUUR0000SEFJ,2015,M10,221.874,
CUUR0000SEFJ,2015,M09,222.310,
CUUR0000SEFJ,2015,M08,220.716,
CUUR0000SEFJ,2015,M07,221.443,
CUUR0000SEFJ,2015,M06,219.696,
CUUR0000SEFJ,2015,M05,221.039,
CUUR0000SEFJ,2015,M04,222.691,
CUUR0000SEFJ,2015,M03,224.449,
CUUR0000SEFJ,2015,M02,225.535,
CUUR0000SEFJ,2015,M01,227.800,
CUUR0000SEFJ,2014,M12,229.870,
CUUR0000SEFJ,2014,M11,228.412,
CUUR0000SEFJ,2014,M10,228.831,
CUUR0000SEFJ,2014,M09,227.604,
CUUR0000SEFJ,2014,M08,226.390,
CUUR0000SEFJ,2014,M07,225.140,
CUUR0000SEFJ,2014,M06,224.522,
CUUR0000SEFJ,2014,M05,225.491,
CUUR0000SEFJ,2014,M04,224.171,
CUUR0000SEFJ,2014,M03,223.063,
CUUR0000SEFJ,2014,M02,220.861,
CUUR0000SEFJ,2014,M01,219.362,
CUUR0000SEFJ,2013,M12,218.376,
CUUR0000SEFJ,2013,M11,217.463,
CUUR0000SEFJ,2013,M10,216.596,
CUUR0000SEFJ,2013,M09,217.007,
CUUR0000SEFJ,2013,M08,216.791,
CUUR0000SEFJ,2013,M07,215.920,
CUUR0000SEFJ,2013,M06,216.062,
CUUR0000SEFJ,2013,M05,216.327,
CUUR0000SEFJ,2013,M04,218.141,
CUUR0000SEFJ,2013,M03,218.123,
CUUR0000SEFJ,2013,M02,219.526,
CUUR0000SEFJ,2013,M01,220.319,
