+-----------+------+--------+---------+-----------+
| series id | year | period |  value  | footnotes |
+-----------+------+--------+---------+-----------+
|   WPS023  | 2022 |  M12   | 244.138 |           |
|   WPS023  | 2022 |  M11   | 244.756 |           |
|   WPS023  | 2022 |  M10   | 245.311 |           |
|   WPS023  | 2022 |  M09   | 245.178 |           |
|   WPS023  | 2022 |  M08   | 247.768 |           |
|   WPS023  | 2022 |  M07   | 251.819 |           |
|   WPS023  | 2022 |  M06   | 251.675 |           |
|   WPS023  | 2022 |  M05   | 249.731 |           |
|   WPS023  | 2022 |  M04   | 246.849 |           |
|   WPS023  | 2022 |  M03   | 239.713 |           |
|   WPS023  | 2022 |  M02   | 232.593 |           |
|   WPS023  | 2022 |  M01   | 225.481 |           |
|   WPS023  | 2021 |  M12   | 217.064 |           |
|   WPS023  | 2021 |  M11   | 211.183 |           |
|   WPS023  | 2021 |  M10   | 208.466 |           |
|   WPS023  | 2021 |  M09   | 206.557 |           |
|   WPS023  | 2021 |  M08   | 206.226 |           |
|   WPS023  | 2021 |  M07   | 207.478 |           |
|   WPS023  | 2021 |  M06   |  207.5  |           |
|   WPS023  | 2021 |  M05   |  207.7  |           |
|   WPS023  | 2021 |  M04   |  204.3  |           |
|   WPS023  | 2021 |  M03   |  199.7  |           |
|   WPS023  | 2021 |  M02   |  197.9  |           |
|   WPS023  | 2021 |  M01   |  198.8  |           |
|   WPS023  | 2020 |  M12   |  201.9  |           |
|   WPS023  | 2020 |  M11   |  209.1  |           |
|   WPS023  | 2020 |  M10   |  204.7  |           |
|   WPS023  | 2020 |  M09   |  203.0  |           |
|   WPS023  | 2020 |  M08   |  207.0  |           |
|   WPS023  | 2020 |  M07   |  210.6  |           |
|   WPS023  | 2020 |  M06   |  199.9  |           |
|   WPS023  | 2020 |  M05   |  186.9  |           |
|   WPS023  | 2020 |  M04   |  191.9  |           |
|   WPS023  | 2020 |  M03   |  201.9  |           |
|   WPS023  | 2020 |  M02   |  203.9  |           |
|   WPS023  | 2020 |  M01   |  205.5  |           |
|   WPS023  | 2019 |  M12   |  207.6  |           |
|   WPS023  | 2019 |  M11   |  207.1  |           |
|   WPS023  | 2019 |  M10   |  203.9  |           |
|   WPS023  | 2019 |  M09   |  204.3  |           |
|   WPS023  | 2019 |  M08   |  204.3  |           |
|   WPS023  | 2019 |  M07   |  203.8  |           |
|   WPS023  | 2019 |  M06   |  201.1  |           |
|   WPS023  | 2019 |  M05   |  199.7  |           |
|   WPS023  | 2019 |  M04   |  198.3  |           |
|   WPS023  | 2019 |  M03   |  197.0  |           |
|   WPS023  | 2019 |  M02   |  195.3  |           |
|   WPS023  | 2019 |  M01   |  192.8  |           |
|   WPS023  | 2018 |  M12   |  191.6  |           |
|   WPS023  | 2018 |  M11   |  192.2  |           |
|   WPS023  | 2018 |  M10   |  193.7  |           |
|   WPS023  | 2018 |  M09   |  192.9  |           |
|   WPS023  | 2018 |  M08   |  192.9  |           |
|   WPS023  | 2018 |  M07   |  192.7  |           |
|   WPS023  | 2018 |  M06   |  194.0  |           |
|   WPS023  | 2018 |  M05   |  193.5  |           |
|   WPS023  | 2018 |  M04   |  190.7  |           |
|   WPS023  | 2018 |  M03   |  190.3  |           |
|   WPS023  | 2018 |  M02   |  190.0  |           |
|   WPS023  | 2018 |  M01   |  192.7  |           |
|   WPS023  | 2017 |  M12   |  193.8  |           |
|   WPS023  | 2017 |  M11   |  194.8  |           |
|   WPS023  | 2017 |  M10   |  195.6  |           |
|   WPS023  | 2017 |  M09   |  196.4  |           |
|   WPS023  | 2017 |  M08   |  198.8  |           |
|   WPS023  | 2017 |  M07   |  197.7  |           |
|   WPS023  | 2017 |  M06   |  197.4  |           |
|   WPS023  | 2017 |  M05   |  194.8  |           |
|   WPS023  | 2017 |  M04   |  196.0  |           |
|   WPS023  | 2017 |  M03   |  198.2  |           |
|   WPS023  | 2017 |  M02   |  200.3  |           |
|   WPS023  | 2017 |  M01   |  199.6  |           |
|   WPS023  | 2016 |  M12   |  195.9  |           |
|   WPS023  | 2016 |  M11   |  190.8  |           |
|   WPS023  | 2016 |  M10   |  190.2  |           |
|   WPS023  | 2016 |  M09   |  193.9  |           |
|   WPS023  | 2016 |  M08   |  193.1  |           |
|   WPS023  | 2016 |  M07   |  189.7  |           |
|   WPS023  | 2016 |  M06   |  186.1  |           |
|   WPS023  | 2016 |  M05   |  186.1  |           |
