+-----------+------+--------+---------+-----------+
| series id | year | period |  value  | footnotes |
+-----------+------+--------+---------+-----------+
|   WPS022  | 2022 |  M12   | 226.258 |           |
|   WPS022  | 2022 |  M11   | 231.555 |           |
|   WPS022  | 2022 |  M10   | 227.284 |           |
|   WPS022  | 2022 |  M09   | 233.942 |           |
|   WPS022  | 2022 |  M08   | 238.860 |           |
|   WPS022  | 2022 |  M07   | 241.258 |           |
|   WPS022  | 2022 |  M06   | 237.732 |           |
|   WPS022  | 2022 |  M05   | 237.697 |           |
|   WPS022  | 2022 |  M04   | 239.694 |           |
|   WPS022  | 2022 |  M03   | 238.619 |           |
|   WPS022  | 2022 |  M02   | 238.806 |           |
|   WPS022  | 2022 |  M01   | 237.227 |           |
|   WPS022  | 2021 |  M12   | 235.237 |           |
|   WPS022  | 2021 |  M11   | 238.170 |           |
|   WPS022  | 2021 |  M10   | 238.656 |           |
|   WPS022  | 2021 |  M09   | 247.030 |           |
|   WPS022  | 2021 |  M08   | 237.726 |           |
|   WPS022  | 2021 |  M07   | 227.957 |           |
|   WPS022  | 2021 |  M06   |  234.6  |           |
|   WPS022  | 2021 |  M05   |  223.7  |           |
|   WPS022  | 2021 |  M04   |  214.1  |           |
|   WPS022  | 2021 |  M03   |  202.9  |           |
|   WPS022  | 2021 |  M02   |  200.1  |           |
|   WPS022  | 2021 |  M01   |  189.8  |           |
|   WPS022  | 2020 |  M12   |  190.3  |           |
|   WPS022  | 2020 |  M11   |  190.3  |           |
|   WPS022  | 2020 |  M10   |  185.7  |           |
|   WPS022  | 2020 |  M09   |  181.2  |           |
|   WPS022  | 2020 |  M08   |  177.4  |           |
|   WPS022  | 2020 |  M07   |  177.6  |           |
|   WPS022  | 2020 |  M06   |  186.5  |           |
|   WPS022  | 2020 |  M05   |  232.1  |           |
|   WPS022  | 2020 |  M04   |  185.6  |           |
|   WPS022  | 2020 |  M03   |  182.4  |           |
|   WPS022  | 2020 |  M02   |  184.8  |           |
|   WPS022  | 2020 |  M01   |  188.7  |           |
|   WPS022  | 2019 |  M12   |  191.7  |           |
|   WPS022  | 2019 |  M11   |  191.6  |           |
|   WPS022  | 2019 |  M10   |  187.0  |           |
|   WPS022  | 2019 |  M09   |  186.4  |           |
|   WPS022  | 2019 |  M08   |  183.4  |           |
|   WPS022  | 2019 |  M07   |  183.8  |           |
|   WPS022  | 2019 |  M06   |  181.5  |           |
|   WPS022  | 2019 |  M05   |  185.1  |           |
|   WPS022  | 2019 |  M04   |  185.8  |           |
|   WPS022  | 2019 |  M03   |  182.8  |           |
|   WPS022  | 2019 |  M02   |  184.6  |           |
|   WPS022  | 2019 |  M01   |  183.1  |           |
|   WPS022  | 2018 |  M12   |  180.7  |           |
|   WPS022  | 2018 |  M11   |  179.4  |           |
|   WPS022  | 2018 |  M10   |  179.5  |           |
|   WPS022  | 2018 |  M09   |  177.3  |           |
|   WPS022  | 2018 |  M08   |  175.8  |           |
|   WPS022  | 2018 |  M07   |  180.3  |           |
|   WPS022  | 2018 |  M06   |  178.4  |           |
|   WPS022  | 2018 |  M05   |  183.0  |           |
|   WPS022  | 2018 |  M04   |  183.4  |           |
|   WPS022  | 2018 |  M03   |  187.6  |           |
|   WPS022  | 2018 |  M02   |  184.2  |           |
|   WPS022  | 2018 |  M01   |  184.4  |           |
|   WPS022  | 2017 |  M12   |  182.8  |           |
|   WPS022  | 2017 |  M11   |  182.5  |           |
|   WPS022  | 2017 |  M10   |  183.2  |           |
|   WPS022  | 2017 |  M09   |  185.2  |           |
|   WPS022  | 2017 |  M08   |  189.0  |           |
|   WPS022  | 2017 |  M07   |  189.6  |           |
|   WPS022  | 2017 |  M06   |  190.9  |           |
|   WPS022  | 2017 |  M05   |  186.6  |           |
|   WPS022  | 2017 |  M04   |  187.0  |           |
|   WPS022  | 2017 |  M03   |  187.0  |           |
|   WPS022  | 2017 |  M02   |  182.8  |           |
|   WPS022  | 2017 |  M01   |  182.7  |           |
|   WPS022  | 2016 |  M12   |  180.8  |           |
|   WPS022  | 2016 |  M11   |  179.5  |           |
|   WPS022  | 2016 |  M10   |  182.2  |           |
|   WPS022  | 2016 |  M09   |  184.1  |           |
|   WPS022  | 2016 |  M08   |  181.4  |           |
|   WPS022  | 2016 |  M07   |  185.3  |           |
|   WPS022  | 2016 |  M06   |  185.3  |           |
|   WPS022  | 2016 |  M05   |  184.9  |           |
|   WPS022  | 2016 |  M04   |  186.7  |           |
|   WPS022  | 2016 |  M03   |  185.7  |           |
|   WPS022  | 2016 |  M02   |  188.2  |           |
|   WPS022  | 2016 |  M01   |  184.4  |           |
|   WPS022  | 2015 |  M12   |  184.5  |           |
|   WPS022  | 2015 |  M11   |  189.1  |           |
|   WPS022  | 2015 |  M10   |  191.4  |           |
|   WPS022  | 2015 |  M09   |  194.3  |           |
|   WPS022  | 2015 |  M08   |  196.0  |           |
|   WPS022  | 2015 |  M07   |  195.8  |           |
|   WPS022  | 2015 |  M06   |  198.1  |           |
|   WPS022  | 2015 |  M05   |  202.0  |           |
|   WPS022  | 2015 |  M04   |  200.6  |           |
|   WPS022  | 2015 |  M03   |  201.7  |           |
|   WPS022  | 2015 |  M02   |  206.5  |           |
|   WPS022  | 2015 |  M01   |  214.5  |           |
|   WPS022  | 2014 |  M12   |  211.7  |           |
|   WPS022  | 2014 |  M11   |  213.5  |           |
|   WPS022  | 2014 |  M10   |  216.7  |           |
|   WPS022  | 2014 |  M09   |  212.5  |           |
|   WPS022  | 2014 |  M08   |  214.2  |           |
|   WPS022  | 2014 |  M07   |  214.6  |           |
|   WPS022  | 2014 |  M06   |  205.4  |           |
|   WPS022  | 2014 |  M05   |  203.7  |           |
|   WPS022  | 2014 |  M04   |  207.2  |           |
|   WPS022  | 2014 |  M03   |  195.3  |           |
|   WPS022  | 2014 |  M02   |  188.9  |           |
|   WPS022  | 2014 |  M01   |  189.8  |           |
|   WPS022  | 2013 |  M12   |  187.4  |           |
|   WPS022  | 2013 |  M11   |  187.4  |           |
|   WPS022  | 2013 |  M10   |  185.6  |           |
|   WPS022  | 2013 |  M09   |  184.4  |           |
|   WPS022  | 2013 |  M08   |  184.1  |           |
|   WPS022  | 2013 |  M07   |  183.8  |           |
|   WPS022  | 2013 |  M06   |  183.0  |           |
|   WPS022  | 2013 |  M05   |  181.6  |           |
|   WPS022  | 2013 |  M04   |  180.1  |           |
|   WPS022  | 2013 |  M03   |  183.2  |           |
|   WPS022  | 2013 |  M02   |  184.0  |           |
|   WPS022  | 2013 |  M01   |  184.3  |           |
+-----------+------+--------+---------+-----------+
