year,period,Dairy,Alcohol,Meats
2022,M12,271.376,224.772,318.265
2022,M11,271.307,223.316,318.558
2022,M10,269.355,221.743,319.038
2022,M09,268.793,220.834,319.771
2022,M08,267.461,220.152,317.885
2022,M07,265.638,219.262,316.808
2022,M06,261.255,218.421,316.004
2022,M05,257.678,217.491,315.862
2022,M04,251.03,217.116,313.004
2022,M03,245.258,216.591,311.278
2022,M02,242.386,216.142,308.65
2022,M01,238.675,214.285,305.382
2021,M12,235.442,213.6,304.652
2021,M11,233.157,213.734,305.578
2021,M10,233.168,213.597,301.302
2021,M09,231.973,214.505,297.04
2021,M08,230.145,213.372,291.926
2021,M07,231.233,212.782,289.948
2021,M06,230.152,212.403,286.198
2021,M05,230.38,211.74,279.285
2021,M04,230.17,211.062,275.02
2021,M03,229.249,210.996,273.329
2021,M02,230.452,210.754,272.833
2021,M01,231.546,211.057,272.09
2020,M12,231.74,211.043,270.463
2020,M11,229.503,211.022,270.25
2020,M10,229.155,210.26,269.462
2020,M09,230.656,209.436,269.269
2020,M08,231.231,209.009,270.468
2020,M07,227.114,209.241,273.867
2020,M06,228.437,209.117,284.438
2020,M05,230.166,209.311,278.315
2020,M04,228.755,208.712,267.731
2020,M03,225.627,207.944,259.057
2020,M02,224.443,206.952,259.074
2020,M01,223.035,206.054,258.04
2019,M12,221.924,205.227,257.678
2019,M11,221.515,205.104,254.84
2019,M10,220.738,205.774,253.821
2019,M09,219.771,206.154,252.44
2019,M08,218.758,206.485,252.252
2019,M07,217.626,206.142,252.558
2019,M06,217.433,205.601,252.12
2019,M05,217.841,205.352,253.509
2019,M04,217.51,204.016,252.082
2019,M03,217.531,204.996,252.513
2019,M02,216.595,206.006,253.16
2019,M01,217.079,204.981,252.209
2018,M12,216.652,204.695,251.211
2018,M11,215.896,204.136,250.82
2018,M10,216.8,203.435,249.821
2018,M09,216.638,203.018,250.152
2018,M08,216.435,202.036,251.213
2018,M07,215.622,202.125,250.5
2018,M06,216.126,202.285,249.662
2018,M05,215.659,201.764,250.095
2018,M04,216.906,201.946,252.101
2018,M03,216.497,201.687,251.542
2018,M02,216.412,201.698,250.47
2018,M01,217.897,201.299,250.832
2017,M12,216.916,201.709,251.962
2017,M11,216.878,201.57,249.945
2017,M10,217.17,201.027,250.37
2017,M09,216.564,200.633,249.712
2017,M08,216.537,199.92,250.34
2017,M07,216.434,199.743,250.45
2017,M06,215.192,199.179,248.801
2017,M05,217.015,199.576,247.784
2017,M04,217.827,200.612,246.852
2017,M03,218.567,199.855,248.625
2017,M02,220.552,199.632,247.616
2017,M01,219.804,200.164,245.934
2016,M12,217.929,199.18,246.377
2016,M11,216.773,198.799,246.937
2016,M10,218.183,199.173,247.376
2016,M09,216.693,198.923,248.31
2016,M08,215.506,198.815,248.204
2016,M07,214.605,198.958,248.537
2016,M06,214.815,199.02,249.9
2016,M05,216.122,198.984,250.83
2016,M04,218.315,199,251.659
2016,M03,218.131,198.824,251.283
2016,M02,219.732,199.188,251.488
2016,M01,220.869,198.847,252.101
2015,M12,220.848,197.561,253.396
2015,M11,220.613,198.045,255.968
2015,M10,221.874,198.169,257.164
2015,M09,222.31,196.977,257.09
2015,M08,220.716,197.426,257.555
2015,M07,221.443,197.17,258.202
2015,M06,219.696,196.94,258.433
2015,M05,221.039,197.283,258.087
2015,M04,222.691,196.831,259.634
2015,M03,224.449,197.113,260.886
2015,M02,225.535,196.915,262.509
2015,M01,227.8,196.84,262.713
2014,M12,229.87,197.612,262.212
2014,M11,228.412,198.652,261.419
2014,M10,228.831,197.057,260.201
2014,M09,227.604,197.753,260.606
2014,M08,226.39,198.129,257.994
2014,M07,225.14,196.409,254.101
2014,M06,224.522,196.453,253.442
2014,M05,225.491,196.565,252.993
2014,M04,224.171,196.174,249.672
2014,M03,223.063,196.228,245.844
2014,M02,220.861,195.983,243.814
2014,M01,219.362,196.606,241.605
2013,M12,218.376,196.552,240.484
2013,M11,217.463,195.957,239.401
2013,M10,216.596,195.873,240.09
2013,M09,217.007,196.145,238.336
2013,M08,216.791,196.525,237.544
2013,M07,215.92,196.33,236.12
2013,M06,216.062,195.946,235.437
2013,M05,216.327,195.582,234.424
2013,M04,218.141,195.572,234.696
2013,M03,218.123,195.144,234.365
2013,M02,219.526,194.702,234.627
2013,M01,220.319,193.881,234.479
