year,period,Dairy ,Alcohol,Meats
2022,M12,244.138,217.555,226.258
2022,M11,244.756,216.673,231.555
2022,M10,245.311,214.555,227.284
2022,M09,245.178,212.442,233.942
2022,M08,247.768,211.639,238.86
2022,M07,251.819,210.91,241.258
2022,M06,251.675,211.5,237.732
2022,M05,249.731,210.777,237.697
2022,M04,246.849,209.973,239.694
2022,M03,239.713,207.872,238.619
2022,M02,232.593,205.779,238.806
2022,M01,225.481,204.317,237.227
2021,M12,217.064,203.378,235.237
2021,M11,211.183,202.854,238.17
2021,M10,208.466,202.81,238.656
2021,M09,206.557,201.343,247.03
2021,M08,206.226,201.416,237.726
2021,M07,207.478,200.576,227.957
2021,M06,207.5,200,234.6
2021,M05,207.7,201.1,223.7
2021,M04,204.3,200.3,214.1
2021,M03,199.7,200.6,202.9
2021,M02,197.9,200.9,200.1
2021,M01,198.8,200.3,189.8
2020,M12,201.9,199.8,190.3
2020,M11,209.1,204.2,190.3
2020,M10,204.7,203.8,185.7
2020,M09,203,202.6,181.2
2020,M08,207,201.8,177.4
2020,M07,210.6,201.8,177.6
2020,M06,199.9,201.9,186.5
2020,M05,186.9,202.3,232.1
2020,M04,191.9,204.7,185.6
2020,M03,201.9,202.1,182.4
2020,M02,203.9,202.1,184.8
2020,M01,205.5,201.4,188.7
2019,M12,207.6,200.9,191.7
2019,M11,207.1,200.6,191.6
2019,M10,203.9,200.5,187
2019,M09,204.3,199.8,186.4
2019,M08,204.3,199.3,183.4
2019,M07,203.8,200.4,183.8
2019,M06,201.1,199.5,181.5
2019,M05,199.7,198.7,185.1
2019,M04,198.3,199.1,185.8
2019,M03,197,199.3,182.8
2019,M02,195.3,199.7,184.6
2019,M01,192.8,200.5,183.1
2018,M12,191.6,200.9,180.7
2018,M11,192.2,200,179.4
2018,M10,193.7,199.6,179.5
2018,M09,192.9,199.5,177.3
2018,M08,192.9,199.7,175.8
2018,M07,192.7,198.9,180.3
2018,M06,194,199.9,178.4
2018,M05,193.5,200.5,183
2018,M04,190.7,199.8,183.4
2018,M03,190.3,199.4,187.6
2018,M02,190,198.8,184.2
2018,M01,192.7,197.9,184.4
2017,M12,193.8,196.9,182.8
2017,M11,194.8,196.9,182.5
2017,M10,195.6,196.5,183.2
2017,M09,196.4,196.5,185.2
2017,M08,198.8,195.9,189
2017,M07,197.7,196,189.6
2017,M06,197.4,195.6,190.9
2017,M05,194.8,195,186.6
2017,M04,196,194.7,187
2017,M03,198.2,194.8,187
2017,M02,200.3,194.3,182.8
2017,M01,199.6,193.9,182.7
2016,M12,195.9,193.8,180.8
2016,M11,190.8,194,179.5
2016,M10,190.2,193.8,182.2
2016,M09,193.9,193.9,184.1
2016,M08,193.1,194,181.4
2016,M07,189.7,193.9,185.3
2016,M06,186.1,193.2,185.3
2016,M05,186.1,192.7,184.9
2016,M04,188.6,192.7,186.7
2016,M03,189.2,192.9,185.7
2016,M02,190.1,193,188.2
2016,M01,190.8,192.7,184.4
2015,M12,192.6,,184.5
2015,M11,193,,189.1
2015,M10,193.4,,191.4
2015,M09,191.9,,194.3
2015,M08,192,,196
2015,M07,193.8,,195.8
2015,M06,194.8,,198.1
2015,M05,194,,202
2015,M04,192,,200.6
2015,M03,192.8,,201.7
2015,M02,194,,206.5
2015,M01,198.6,,214.5
2014,M12,208.5,,211.7
2014,M11,217.1,,213.5
2014,M10,224.3,,216.7
2014,M09,225,,212.5
2014,M08,221.9,,214.2
2014,M07,221.5,,214.6
2014,M06,222.6,,205.4
2014,M05,227.1,,203.7
2014,M04,229.7,,207.2
2014,M03,226.2,,195.3
2014,M02,222.6,,188.9
2014,M01,213.8,,189.8
2013,M12,205.5,,187.4
2013,M11,200.6,,187.4
2013,M10,197.5,,185.6
2013,M09,195.7,,184.4
2013,M08,197.5,,184.1
2013,M07,198.5,,183.8
2013,M06,201.1,,183
2013,M05,202.3,,181.6
2013,M04,199.3,,180.1
2013,M03,198.9,,183.2
2013,M02,199,,184
2013,M01,200.5,,184.3
