Date,DairyCPI,AlcoholCPI,MeatsCPI,DairyPPI,AlcoholPPI,MeatsPPI
2022-12-01,271.376,224.772,318.265,244.138,217.555,226.258
2022-11-01,271.307,223.316,318.558,244.756,216.673,231.555
2022-10-01,269.355,221.743,319.038,245.311,214.555,227.284
2022-09-01,268.793,220.834,319.771,245.178,212.442,233.942
2022-08-01,267.461,220.152,317.885,247.768,211.639,238.86
2022-07-01,265.638,219.262,316.808,251.819,210.91,241.258
2022-06-01,261.255,218.421,316.004,251.675,211.5,237.732
2022-05-01,257.678,217.491,315.862,249.731,210.777,237.697
2022-04-01,251.03,217.116,313.004,246.849,209.973,239.694
2022-03-01,245.258,216.591,311.278,239.713,207.872,238.619
2022-02-01,242.386,216.142,308.65,232.593,205.779,238.806
2022-01-01,238.675,214.285,305.382,225.481,204.317,237.227
2021-12-01,235.442,213.6,304.652,217.064,203.378,235.237
2021-11-01,233.157,213.734,305.578,211.183,202.854,238.17
2021-10-01,233.168,213.597,301.302,208.466,202.81,238.656
2021-09-01,231.973,214.505,297.04,206.557,201.343,247.03
2021-08-01,230.145,213.372,291.926,206.226,201.416,237.726
2021-07-01,231.233,212.782,289.948,207.478,200.576,227.957
2021-06-01,230.152,212.403,286.198,207.5,200.0,234.6
2021-05-01,230.38,211.74,279.285,207.7,201.1,223.7
2021-04-01,230.17,211.062,275.02,204.3,200.3,214.1
2021-03-01,229.249,210.996,273.329,199.7,200.6,202.9
2021-02-01,230.452,210.754,272.833,197.9,200.9,200.1
2021-01-01,231.546,211.057,272.09,198.8,200.3,189.8
2020-12-01,231.74,211.043,270.463,201.9,199.8,190.3
2020-11-01,229.503,211.022,270.25,209.1,204.2,190.3
2020-10-01,229.155,210.26,269.462,204.7,203.8,185.7
2020-09-01,230.656,209.436,269.269,203.0,202.6,181.2
2020-08-01,231.231,209.009,270.468,207.0,201.8,177.4
2020-07-01,227.114,209.241,273.867,210.6,201.8,177.6
2020-06-01,228.437,209.117,284.438,199.9,201.9,186.5
2020-05-01,230.166,209.311,278.315,186.9,202.3,232.1
2020-04-01,228.755,208.712,267.731,191.9,204.7,185.6
2020-03-01,225.627,207.944,259.057,201.9,202.1,182.4
2020-02-01,224.443,206.952,259.074,203.9,202.1,184.8
2020-01-01,223.035,206.054,258.04,205.5,201.4,188.7
2019-12-01,221.924,205.227,257.678,207.6,200.9,191.7
2019-11-01,221.515,205.104,254.84,207.1,200.6,191.6
2019-10-01,220.738,205.774,253.821,203.9,200.5,187.0
2019-09-01,219.771,206.154,252.44,204.3,199.8,186.4
2019-08-01,218.758,206.485,252.252,204.3,199.3,183.4
2019-07-01,217.626,206.142,252.558,203.8,200.4,183.8
2019-06-01,217.433,205.601,252.12,201.1,199.5,181.5
2019-05-01,217.841,205.352,253.509,199.7,198.7,185.1
2019-04-01,217.51,204.016,252.082,198.3,199.1,185.8
2019-03-01,217.531,204.996,252.513,197.0,199.3,182.8
2019-02-01,216.595,206.006,253.16,195.3,199.7,184.6
2019-01-01,217.079,204.981,252.209,192.8,200.5,183.1
2018-12-01,216.652,204.695,251.211,191.6,200.9,180.7
2018-11-01,215.896,204.136,250.82,192.2,200.0,179.4
2018-10-01,216.8,203.435,249.821,193.7,199.6,179.5
2018-09-01,216.638,203.018,250.152,192.9,199.5,177.3
2018-08-01,216.435,202.036,251.213,192.9,199.7,175.8
2018-07-01,215.622,202.125,250.5,192.7,198.9,180.3
2018-06-01,216.126,202.285,249.662,194.0,199.9,178.4
2018-05-01,215.659,201.764,250.095,193.5,200.5,183.0
2018-04-01,216.906,201.946,252.101,190.7,199.8,183.4
2018-03-01,216.497,201.687,251.542,190.3,199.4,187.6
2018-02-01,216.412,201.698,250.47,190.0,198.8,184.2
2018-01-01,217.897,201.299,250.832,192.7,197.9,184.4
2017-12-01,216.916,201.709,251.962,193.8,196.9,182.8
2017-11-01,216.878,201.57,249.945,194.8,196.9,182.5
2017-10-01,217.17,201.027,250.37,195.6,196.5,183.2
2017-09-01,216.564,200.633,249.712,196.4,196.5,185.2
2017-08-01,216.537,199.92,250.34,198.8,195.9,189.0
2017-07-01,216.434,199.743,250.45,197.7,196.0,189.6
2017-06-01,215.192,199.179,248.801,197.4,195.6,190.9
2017-05-01,217.015,199.576,247.784,194.8,195.0,186.6
2017-04-01,217.827,200.612,246.852,196.0,194.7,187.0
2017-03-01,218.567,199.855,248.625,198.2,194.8,187.0
2017-02-01,220.552,199.632,247.616,200.3,194.3,182.8
2017-01-01,219.804,200.164,245.934,199.6,193.9,182.7
2016-12-01,217.929,199.18,246.377,195.9,193.8,180.8
2016-11-01,216.773,198.799,246.937,190.8,194.0,179.5
2016-10-01,218.183,199.173,247.376,190.2,193.8,182.2
2016-09-01,216.693,198.923,248.31,193.9,193.9,184.1
